station_name,timestamp,duration,filename
Classic FM,20250308_184804,33,radio_recordings\Classic_FM_20250308_184804.mp3
SomaFM - Drone Zone,20250308_184825,66,radio_recordings\SomaFM_-_Drone_Zone_20250308_184825.mp3
NPR,20250308_184918,55,radio_recordings\NPR_20250308_184918.mp3
Classic FM,20250308_185013,39,radio_recordings\Classic_FM_20250308_185013.mp3
Classic FM,20250308_185040,82,radio_recordings\Classic_FM_20250308_185040.mp3
NPR,20250308_185149,80,radio_recordings\NPR_20250308_185149.mp3
NPR,20250308_185307,81,radio_recordings\NPR_20250308_185307.mp3
SomaFM - Drone Zone,20250308_185426,88,radio_recordings\SomaFM_-_Drone_Zone_20250308_185426.mp3
Classic FM,20250308_185540,47,radio_recordings\Classic_FM_20250308_185540.mp3
Classic FM,20250308_185616,82,radio_recordings\Classic_FM_20250308_185616.mp3
SomaFM - Groove Salad,20250308_185725,69,radio_recordings\SomaFM_-_Groove_Salad_20250308_185725.mp3
Classic FM,20250308_185821,80,radio_recordings\Classic_FM_20250308_185821.mp3
SomaFM - Groove Salad,20250308_185929,55,radio_recordings\SomaFM_-_Groove_Salad_20250308_185929.mp3
NPR,20250308_190010,42,radio_recordings\NPR_20250308_190010.mp3
Radio Paradise,20250308_190051,33,radio_recordings\Radio_Paradise_20250308_190051.mp3
NPR,20250308_190117,54,radio_recordings\NPR_20250308_190117.mp3
Classic FM,20250308_190209,35,radio_recordings\Classic_FM_20250308_190209.mp3
Classic FM,20250308_190232,33,radio_recordings\Classic_FM_20250308_190232.mp3
SomaFM - Groove Salad,20250308_190253,80,radio_recordings\SomaFM_-_Groove_Salad_20250308_190253.mp3
NPR,20250308_190400,69,radio_recordings\NPR_20250308_190400.mp3
SomaFM - Groove Salad,20250308_190507,86,radio_recordings\SomaFM_-_Groove_Salad_20250308_190507.mp3
SomaFM - Groove Salad,20250308_190620,84,radio_recordings\SomaFM_-_Groove_Salad_20250308_190620.mp3
Classic FM,20250308_190730,85,radio_recordings\Classic_FM_20250308_190730.mp3
Radio Paradise,20250308_190843,62,radio_recordings\Radio_Paradise_20250308_190843.mp3
SomaFM - Drone Zone,20250308_190938,48,radio_recordings\SomaFM_-_Drone_Zone_20250308_190938.mp3
SomaFM - Drone Zone,20250308_191012,55,radio_recordings\SomaFM_-_Drone_Zone_20250308_191012.mp3
SomaFM - Drone Zone,20250308_191054,45,radio_recordings\SomaFM_-_Drone_Zone_20250308_191054.mp3
SomaFM - Groove Salad,20250308_191125,41,radio_recordings\SomaFM_-_Groove_Salad_20250308_191125.mp3
SomaFM - Drone Zone,20250308_191152,40,radio_recordings\SomaFM_-_Drone_Zone_20250308_191152.mp3
Radio Paradise,20250308_191219,80,radio_recordings\Radio_Paradise_20250308_191219.mp3
